Place,Player,Alias,Character(s),Event Name,Year,Game Played
3rd,John Choi,John Choi,O. Sagat,EVO 2018[],2018,Super Street Fighter II Turbo
4th,KillerMiller,KillerMiller,E. Honda,EVO 2018[],2018,Super Street Fighter II Turbo
5th,SilentScope,SilentScope,Cammy,EVO 2018[],2018,Super Street Fighter II Turbo
5th,DigitalInfamy,DigitalInfamy,O. Sagat/Balrog,EVO 2018[],2018,Super Street Fighter II Turbo
7th,Myung,Myung,Vega,EVO 2018[],2018,Super Street Fighter II Turbo
7th,Fromo,Fromo,Blanka,EVO 2018[],2018,Super Street Fighter II Turbo
1st,Masato Takahashi,Bonchan,Karin/Sagat,EVO 2019[],2019,Street Fighter V: Arcade Edition[
2nd,Adel Anouche,BigBird,Rashid,EVO 2019[],2019,Street Fighter V: Arcade Edition[
3rd,DC Coleman,Infexious,Zeku,EVO 2019[],2019,Street Fighter V: Arcade Edition[
4th,Atsushi Fujimura,Fujimura,Ibuki,EVO 2019[],2019,Street Fighter V: Arcade Edition[
